"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"27","6921163bc1cdcfcd3049c88d5c53e458","MBSF25",0.00116158219722443,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"28","6921163bc1cdcfcd3049c88d5c53e458","MBSF9",0.000785261250377529,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"29","6921163bc1cdcfcd3049c88d5c53e458","MBSF8",0.000768003780941691,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"30","6921163bc1cdcfcd3049c88d5c53e458","MBSF7",0.000529212531752752,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"31","5d81b46613a582d1a94fa803c90e44fe","MBSF15",0.245872801082544,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"32","5d81b46613a582d1a94fa803c90e44fe","MBSF14",0.10183888311571,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"33","5d81b46613a582d1a94fa803c90e44fe","MBSF19",0.0826138240150979,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"34","5d81b46613a582d1a94fa803c90e44fe","MBSF11",0.0743434897977857,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"35","5d81b46613a582d1a94fa803c90e44fe","MBSF17",0.0676297386823703,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"36","5d81b46613a582d1a94fa803c90e44fe","R3D3BW",0.0541109072192633,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"37","5d81b46613a582d1a94fa803c90e44fe","MBSF9",0.0460887949260042,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"38","5d81b46613a582d1a94fa803c90e44fe","MBSF12",0.0404719440252435,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"39","5d81b46613a582d1a94fa803c90e44fe","R2D3BW",0.0399138936227464,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"40","5d81b46613a582d1a94fa803c90e44fe","R2D2BW",0.0398105535945668,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"41","5d81b46613a582d1a94fa803c90e44fe","R2D1BW",0.0360949395432154,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"42","5d81b46613a582d1a94fa803c90e44fe","MBSF23",0.0353782120883098,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"43","5d81b46613a582d1a94fa803c90e44fe","MBSF6",0.0345169118011192,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"44","5d81b46613a582d1a94fa803c90e44fe","MBSF3",0.0300271301788752,3,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"45","5d81b46613a582d1a94fa803c90e44fe","MBSF7",0.030006350550381,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"46","5d81b46613a582d1a94fa803c90e44fe","R3D1BW",0.0293156693371526,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"47","5d81b46613a582d1a94fa803c90e44fe","MBSF8",0.0284752171087611,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"48","5d81b46613a582d1a94fa803c90e44fe","MBSF26",0.0255484851362902,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
