"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"28","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF25",0.0220840679224274,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"29","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF10",0.0220808886102029,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"30","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF17",0.0193273887656724,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"31","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF24",0.0187313750532141,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"32","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF30",0.0180548536775853,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"33","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF15",0.00967756321634036,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"34","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF14",0.00533546752034147,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"35","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF12",0.00362578334825425,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"36","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF11",0.00227252473041618,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"37","3a625aba8cc8cdd34c30616d25bd3fdb","R3D2BW8532",0.00157650556281249,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"38","64103f6795b02ed78383eea1ab6d29a2","MBSF17",0.268320282442403,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"39","64103f6795b02ed78383eea1ab6d29a2","MBSF15",0.247156937073541,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"40","64103f6795b02ed78383eea1ab6d29a2","R3D2BW8532",0.245124093509301,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"41","64103f6795b02ed78383eea1ab6d29a2","MBSF14",0.242585923258192,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"42","64103f6795b02ed78383eea1ab6d29a2","MBSF12",0.236481647269472,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"43","64103f6795b02ed78383eea1ab6d29a2","MBSF19",0.19691561413143,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"44","64103f6795b02ed78383eea1ab6d29a2","MBSF11",0.190401924962125,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"45","64103f6795b02ed78383eea1ab6d29a2","MBSF24",0.0040206234331394,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"46","64103f6795b02ed78383eea1ab6d29a2","MBSF28",0.00377288182961479,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"47","64103f6795b02ed78383eea1ab6d29a2","MBSF30",0.00349152386640327,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"48","64103f6795b02ed78383eea1ab6d29a2","MBSF1",0.00327765804597701,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"49","64103f6795b02ed78383eea1ab6d29a2","MBSF32",0.00247740514749736,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"50","64103f6795b02ed78383eea1ab6d29a2","MBSF10",0.00197070811125543,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"51","64103f6795b02ed78383eea1ab6d29a2","MBSF25",0.00176301382574,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"52","64103f6795b02ed78383eea1ab6d29a2","R1D1BW",0.00148648648648649,1,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"53","64103f6795b02ed78383eea1ab6d29a2","R2D3BW",0.00129175946547884,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"54","64103f6795b02ed78383eea1ab6d29a2","R3D3BW",0.000712821883631828,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"55","64103f6795b02ed78383eea1ab6d29a2","MBSF23",0.000667289470172161,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"56","64103f6795b02ed78383eea1ab6d29a2","MBSF8",0.000629524708844822,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"57","64103f6795b02ed78383eea1ab6d29a2","R3D1BW",0.000534354544240103,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"58","64103f6795b02ed78383eea1ab6d29a2","MBSF9",0.000410752590023276,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"59","64103f6795b02ed78383eea1ab6d29a2","MBSF16",0.000404949381327334,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"60","64103f6795b02ed78383eea1ab6d29a2","R1D2BW",0.000402270594019577,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"61","64103f6795b02ed78383eea1ab6d29a2","MBSF4",0.000401481018869608,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"62","64103f6795b02ed78383eea1ab6d29a2","MBSF20",0.00040003555871633,2,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"63","64103f6795b02ed78383eea1ab6d29a2","MBSF13",0.000312304809494066,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"64","64103f6795b02ed78383eea1ab6d29a2","R2D2BW",0.000311083459248067,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"65","64103f6795b02ed78383eea1ab6d29a2","MBSF6",0.000267058352249967,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"66","64103f6795b02ed78383eea1ab6d29a2","R2D1BW",0.00026698705112802,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
