"","Replicate","sample.id","Genotype","Day","Treatment","input","filtered","reads_passed-filter","denoised","merged","percentage_merged","non-chimeric","percentage_non-chimeric"
"51",2,"MBC26S","LRV_12_3","D3","Control_Daphnia","81072","55363","68.29","55023","52847","65.19","44453","54.83"
"52",3,"MBC27S","LRV_12_3","D3","Control_Daphnia","92015","55984","60.84","55742","53273","57.9","41959","45.6"
"53",1,"MBC28S","LR2_36_1","D1","Control_Daphnia","142054","34270","24.12","33932","31686","22.31","23730","16.7"
"54",2,"MBC29S","LR2_36_1","D1","Control_Daphnia","92128","56347","61.16","55992","52268","56.73","36689","39.82"
"55",3,"MBC30S","LR2_36_1","D1","Control_Daphnia","104649","43303","41.38","42906","40072","38.29","28699","27.42"
"56",1,"MBC31S","LR2_36_1","D2","Control_Daphnia","120880","73109","60.48","72660","69289","57.32","48436","40.07"
"57",2,"MBC32S","LR2_36_1","D2","Control_Daphnia","108465","63677","58.71","63248","59563","54.91","44644","41.16"
"58",3,"MBC33S","LR2_36_1","D2","Control_Daphnia","103729","56189","54.17","55885","53230","51.32","43419","41.86"
"59",1,"R1D1BW","CONTROL","D1","Wastewater_Control","127551","90791","71.18","88331","75441","59.15","33779","26.48"
"60",2,"R2D1BW","CONTROL","D1","Wastewater_Control","146157","103667","70.93","101374","89315","61.11","42132","28.83"
"61",3,"R3D1BW","CONTROL","D1","Wastewater_Control","136580","105836","77.49","103984","92241","67.54","45423","33.26"
"62",1,"R1D2BW","CONTROL","D2","Wastewater_Control","121615","85531","70.33","83544","75295","61.91","40201","33.06"
"63",2,"R2D2BW","CONTROL","D2","Wastewater_Control","131924","104000","78.83","102081","89519","67.86","38761","29.38"
"64",3,"R3D2BW8532","CONTROL","D2","Wastewater_Control","137650","101083","73.43","99748","90856","66.01","58084","42.2"
"65",1,"R1D3BW","CONTROL","D3","Wastewater_Control","183459","132094","72","130351","117153","63.86","58720","32.01"
"66",2,"R2D3BW","CONTROL","D3","Wastewater_Control","370036","286052","77.3","282303","247856","66.98","94331","25.49"
"67",3,"R3D3BW","CONTROL","D3","Wastewater_Control","100255","76764","76.57","75488","65834","65.67","28511","28.44"
