"","OTU","Sample","Abundance","Genotype","Day","Treatment","SampleVolume","Kingdom","Phylum","Class","Order","Family","Genus"
"28","aee8feac864a07a2942dddaaa2a3872d","MBSF8",0.00641349358650641,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"29","aee8feac864a07a2942dddaaa2a3872d","MBSF9",0.00618669586641117,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"30","aee8feac864a07a2942dddaaa2a3872d","R1D3BW",0.00404872430281666,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"31","aee8feac864a07a2942dddaaa2a3872d","MBSF7",0.00393366411872514,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"32","aee8feac864a07a2942dddaaa2a3872d","R2D2BW",0.00375388185510016,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"33","aee8feac864a07a2942dddaaa2a3872d","R2D3BW",0.00371343492730776,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"34","aee8feac864a07a2942dddaaa2a3872d","R3D3BW",0.00342609425255209,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"35","cd71dff3bef41f1f9c7932726c17df85","R3D2BW8532",0.0603690960275258,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"36","cd71dff3bef41f1f9c7932726c17df85","R3D3BW",0.054223185568452,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"37","cd71dff3bef41f1f9c7932726c17df85","MBSF9",0.0506980563920066,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"38","cd71dff3bef41f1f9c7932726c17df85","R2D2BW",0.0385626045114835,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"39","cd71dff3bef41f1f9c7932726c17df85","R2D3BW",0.0345069188999825,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"40","cd71dff3bef41f1f9c7932726c17df85","MBSF4",0.0333956095282578,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"41","cd71dff3bef41f1f9c7932726c17df85","R2D1BW",0.032947858218147,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"42","cd71dff3bef41f1f9c7932726c17df85","MBSF6",0.032581055308328,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"43","cd71dff3bef41f1f9c7932726c17df85","MBSF3",0.0306389912156418,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"44","cd71dff3bef41f1f9c7932726c17df85","MBSF8",0.0297949702050298,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"45","cd71dff3bef41f1f9c7932726c17df85","MBSF7",0.0291448750614635,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"46","cd71dff3bef41f1f9c7932726c17df85","R3D1BW",0.0286439573256492,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"47","cd71dff3bef41f1f9c7932726c17df85","R1D3BW",0.0260025828068828,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"48","cd71dff3bef41f1f9c7932726c17df85","MBSF1",0.0210043175541639,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"49","cd71dff3bef41f1f9c7932726c17df85","MBSF5",0.0171551657819832,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"50","cd71dff3bef41f1f9c7932726c17df85","MBSF2",0.0139164318268796,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"51","cd71dff3bef41f1f9c7932726c17df85","R1D2BW",0.0130576336935439,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"52","cd71dff3bef41f1f9c7932726c17df85","R1D1BW",0.0064065896350532,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"53","6cadc93040df9ac9ddeee36204e91a65","R3D2BW8532",0.306224585548952,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"54","6cadc93040df9ac9ddeee36204e91a65","MBSF4",0.283745913124708,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"55","6cadc93040df9ac9ddeee36204e91a65","MBSF5",0.244557273636434,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"56","6cadc93040df9ac9ddeee36204e91a65","MBSF2",0.231673798837978,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"57","6cadc93040df9ac9ddeee36204e91a65","MBSF6",0.190281309599491,"LRV_0_1","D2","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"58","6cadc93040df9ac9ddeee36204e91a65","MBSF3",0.179973080192689,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"59","6cadc93040df9ac9ddeee36204e91a65","MBSF7",0.167493630146171,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"60","6cadc93040df9ac9ddeee36204e91a65","MBSF8",0.134531865468135,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"61","6cadc93040df9ac9ddeee36204e91a65","R1D3BW",0.129245052528708,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"62","6cadc93040df9ac9ddeee36204e91a65","MBSF1",0.12723170874013,"LRV_0_1","D1","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"63","6cadc93040df9ac9ddeee36204e91a65","R1D2BW",0.126904959822666,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"64","6cadc93040df9ac9ddeee36204e91a65","MBSF9",0.118313714754996,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"65","6cadc93040df9ac9ddeee36204e91a65","R2D3BW",0.102574881765633,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"66","6cadc93040df9ac9ddeee36204e91a65","R3D3BW",0.101069780450287,"CONTROL","D3","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"67","6cadc93040df9ac9ddeee36204e91a65","R2D2BW",0.0865099136607173,"CONTROL","D2","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"68","6cadc93040df9ac9ddeee36204e91a65","R3D1BW",0.0850399643236939,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"69","6cadc93040df9ac9ddeee36204e91a65","R2D1BW",0.0813945531681949,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"70","6cadc93040df9ac9ddeee36204e91a65","R1D1BW",0.0617778286237273,"CONTROL","D1","Wastewater_Control",100,"d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans"
"71","03b8108cd068fb455723194ee5c8e452","MBSF8",0.111200888799111,"LRV_0_1","D3","Wastewater_Daphnia",100,"d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","NS11-12_marine_group"
