"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"1","bb09c14a63acd6c5c2f7883972fcf10a","MBSF31",0.0527271921662457,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"2","bb09c14a63acd6c5c2f7883972fcf10a","MBSF8",0.0364627176465376,2,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"3","bb09c14a63acd6c5c2f7883972fcf10a","MBSF16",0.0316834315593566,1,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"4","bb09c14a63acd6c5c2f7883972fcf10a","MBSF9",0.0288827855054487,3,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"5","bb09c14a63acd6c5c2f7883972fcf10a","MBSF4",0.028105328486568,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"6","bb09c14a63acd6c5c2f7883972fcf10a","MBSF6",0.0230834110178896,3,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"7","bb09c14a63acd6c5c2f7883972fcf10a","MBSF7",0.0213180871338031,1,"Wastewater_Daphnia","LRV_0_1","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"8","bb09c14a63acd6c5c2f7883972fcf10a","MBSF22",0.0189348587645781,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"9","bb09c14a63acd6c5c2f7883972fcf10a","MBSF5",0.0163999822702894,2,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"10","bb09c14a63acd6c5c2f7883972fcf10a","MBSF26",0.0162063759879229,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"11","bb09c14a63acd6c5c2f7883972fcf10a","MBSF32",0.0136286957293794,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"12","bb09c14a63acd6c5c2f7883972fcf10a","MBSF1",0.00986754378166948,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"13","bb09c14a63acd6c5c2f7883972fcf10a","MBSF30",0.00860043445493638,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"14","bb09c14a63acd6c5c2f7883972fcf10a","MBSF2",0.00811026413756426,2,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"15","bb09c14a63acd6c5c2f7883972fcf10a","MBSF25",0.00753679730448661,1,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"16","bb09c14a63acd6c5c2f7883972fcf10a","MBSF17",0.0074934598501308,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"17","bb09c14a63acd6c5c2f7883972fcf10a","MBSF28",0.0074719800747198,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"18","bb09c14a63acd6c5c2f7883972fcf10a","MBSF19",0.00707263911747698,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"19","bb09c14a63acd6c5c2f7883972fcf10a","MBSF13",0.00638807559222784,1,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"20","bb09c14a63acd6c5c2f7883972fcf10a","MBSF24",0.00519123258496761,3,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"21","bb09c14a63acd6c5c2f7883972fcf10a","R2D3BW",0.00496277915632754,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"22","bb09c14a63acd6c5c2f7883972fcf10a","R3D3BW",0.00478511298183429,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"23","bb09c14a63acd6c5c2f7883972fcf10a","MBSF10",0.00376739650740183,1,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"24","bb09c14a63acd6c5c2f7883972fcf10a","MBSF20",0.00367973044866111,2,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"25","bb09c14a63acd6c5c2f7883972fcf10a","MBSF23",0.0034560680579556,2,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"26","bb09c14a63acd6c5c2f7883972fcf10a","R2D1BW",0.00323725055432373,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"27","bb09c14a63acd6c5c2f7883972fcf10a","MBSF14",0.0031474421491267,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"28","bb09c14a63acd6c5c2f7883972fcf10a","R3D1BW",0.00297012146466885,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"29","bb09c14a63acd6c5c2f7883972fcf10a","MBSF3",0.00201351290885498,3,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"30","bb09c14a63acd6c5c2f7883972fcf10a","R2D2BW",0.00199468085106383,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"31","bb09c14a63acd6c5c2f7883972fcf10a","R1D1BW",0.0017747803709291,1,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"32","bb09c14a63acd6c5c2f7883972fcf10a","MBSF11",0.00146205307695716,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"33","bb09c14a63acd6c5c2f7883972fcf10a","MBSF12",0.00128477760056707,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"34","bb09c14a63acd6c5c2f7883972fcf10a","R3D2BW8532",0.000931594357199894,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"35","bb09c14a63acd6c5c2f7883972fcf10a","R1D2BW",0.000800213390237397,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"36","bb09c14a63acd6c5c2f7883972fcf10a","R1D3BW",0.000621807683766378,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA
"37","3a625aba8cc8cdd34c30616d25bd3fdb","R1D2BW",0.118653863252423,1,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"38","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF26",0.109537341266317,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"39","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF22",0.10691321892599,1,"Wastewater_Daphnia","LRV_12_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"40","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF31",0.105941778545793,1,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"41","3a625aba8cc8cdd34c30616d25bd3fdb","R1D3BW",0.0949589162780369,1,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
"42","3a625aba8cc8cdd34c30616d25bd3fdb","MBSF4",0.0700416703608476,1,"Wastewater_Daphnia","LRV_0_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA
