"","OTU","Sample","Abundance","Replicates","Treatment","Genotype","Day","Kingdom","Phylum","Class","Order","Family","Genus"
"1","cc6f591b98e5a81f649ae5847993debe","R3D2BW8532",0.0996963792087733,3,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"2","cc6f591b98e5a81f649ae5847993debe","MBSF12",0.0865510841519171,3,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"3","cc6f591b98e5a81f649ae5847993debe","MBSF11",0.0564912600145666,2,"Wastewater_Daphnia","LRV_8.5_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"4","cc6f591b98e5a81f649ae5847993debe","MBSF19",0.0395939552615865,1,"Wastewater_Daphnia","LRV_12_3","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"5","cc6f591b98e5a81f649ae5847993debe","MBSF15",0.0362484840318016,3,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"6","cc6f591b98e5a81f649ae5847993debe","MBSF14",0.0334399927892199,2,"Wastewater_Daphnia","LRV_8.5_3","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"7","cc6f591b98e5a81f649ae5847993debe","MBSF28",0.0315568691009629,1,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"8","cc6f591b98e5a81f649ae5847993debe","R3D3BW",0.0294209284728713,3,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"9","cc6f591b98e5a81f649ae5847993debe","R2D2BW",0.0285268553599287,2,"Wastewater_Control","CONTROL","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"10","cc6f591b98e5a81f649ae5847993debe","R2D3BW",0.0283292438099487,2,"Wastewater_Control","CONTROL","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"11","cc6f591b98e5a81f649ae5847993debe","MBSF17",0.0260995213582588,2,"Wastewater_Daphnia","LRV_8.5_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"12","cc6f591b98e5a81f649ae5847993debe","R2D1BW",0.0257508814209845,2,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"13","cc6f591b98e5a81f649ae5847993debe","MBSF1",0.022489884257081,1,"Wastewater_Daphnia","LRV_0_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"14","cc6f591b98e5a81f649ae5847993debe","MBSF26",0.0206166332384906,2,"Wastewater_Daphnia","LRV_12_3","D3","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"15","cc6f591b98e5a81f649ae5847993debe","R3D1BW",0.0203172340046338,3,"Wastewater_Control","CONTROL","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"16","cc6f591b98e5a81f649ae5847993debe","MBSF30",0.0159390159390159,3,"Wastewater_Daphnia","LR2_36_1","D1","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"17","cc6f591b98e5a81f649ae5847993debe","MBSF32",0.0130459178902085,2,"Wastewater_Daphnia","LR2_36_1","D2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
